Student,English,Mathematics,Science
201601,48,45,48
201602,50,33,36
201603,66,62,61
201604,51,38,32
201605,56,71,53
201606,54,78,66
201607,62,51,41
201608,50,45,46
201609,55,50,44
201610,54,58,52
201611,63,50,50
201612,61,49,41
201613,59,60,47
201614,63,74,63
201615,48,63,45
201616,66,72,74
201617,51,50,52
201618,67,74,64
201619,58,42,44
201620,55,40,33
201621,56,40,45
201622,77,87,85
201623,50,38,31
201624,47,55,40
201625,70,49,53
201626,55,53,47
201627,70,61,46
201628,63,68,67
201629,64,61,65
201630,66,58,64
201631,46,47,39
201632,63,59,53
201633,62,40,39
201634,69,44,48
201635,55,43,51
201636,57,51,61
201637,53,48,43
201638,75,65,68
201639,58,49,56
201640,64,75,64
201641,51,40,38
201642,59,59,66
201643,69,65,71
201644,65,51,50
201645,65,66,65
201646,53,50,60
201647,72,79,75
201648,64,58,57
201649,64,43,45
201650,59,53,46
201651,44,45,39
201652,66,,81
201653,54,42,50
201654,55,44,40
201655,58,38,36
201656,66,42,58
201657,59,43,42
201658,61,59,60
201659,62,67,58
201660,60,42,42
201661,60,64,54
201662,63,63,43
201663,53,63,43
201664,51,43,51
201665,63,70,66
201666,62,61,56
201667,58,36,46
201668,57,45,41
201669,57,53,57
201670,65,64,61
201671,58,79,71
201672,59,65,56
201673,52,58,43
201674,54,58,47
201675,56,56,61
201676,61,54,44
201677,57,69,57
201678,46,43,35
201679,67,58,57
201680,68,68,66
201681,46,40,32
201682,76,81,83
201683,77,77,80
201684,57,60,63
201685,56,59,46
201686,45,48,33
201687,52,52,35
201688,56,57,43
201689,58,54,45
201690,57,50,43
201691,59,43,32
201692,59,40,41
201693,69,62,44
201694,49,43,35
201695,54,42,35
201696,59,61,62
201697,68,80,73
201698,69,60,55
201699,45,53,35
201700,50,73,54
201701,42,,38
201702,60,66,61
201703,57,68,51
201704,69,47,58
201705,51,33,41
201706,59,66,56
201707,58,56,37
201708,58,46,38
201709,53,74,70
201710,53,42,42
201711,44,53,59
201712,50,55,37
201713,48,52,36
201714,38,53,35
201715,62,54,55
201716,54,41,33
201717,66,62,56
201718,56,59,56
201719,67,58,59
201720,54,55,52
201721,56,58,54
201722,57,54,47
201723,47,47,45
201724,55,51,45
201725,62,45,62
201726,37,35,29
201727,52,32,33
201728,74,70,77
201729,57,45,37
201730,62,76,72
201731,48,32,33
201732,56,51,46
201733,59,51,47
201734,48,57,41
201735,48,40,42
201736,63,65,47
201737,62,68,64
201738,39,55,41
201739,49,42,41
201740,53,48,40
201741,58,53,47
201742,50,41,43
201743,60,55,38
201744,52,44,38
201745,57,66,
201746,66,71,67
201747,58,63,54
201748,48,56,40
201749,66,47,61
201750,48,49,38
201751,62,57,70
201752,55,52,42
201753,63,54,65
201754,60,70,58
201755,63,65,52
201756,63,54,43
201757,65,52,46
201758,57,52,54
201759,59,60,55
