Country,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
Netherlands,5,32,74,133,30,14,11,17,99,197,123,72,807
Brazil,49,77,106,125,50,12,13,30,127,102,85,34,810
Republic of korea,46,50,45,49,82,73,80,154,142,198,48,31,998
Indonesia,23,42,133,67,79,267,11,40,126,81,60,104,1033
Italy,9,66,183,132,29,11,30,76,142,324,117,110,1229
Switzerland,9,35,216,132,93,31,14,19,130,423,229,48,1379
Spain,6,32,106,68,58,31,116,361,149,272,109,89,1397
Taiwan Province of China,6,74,227,242,196,69,73,89,187,181,23,129,1496
France,23,83,265,251,87,27,22,54,101,404,349,107,1773
Canada,24,124,245,224,82,73,46,35,167,440,253,94,1807
Viet Nam,10,213,34,492,57,150,75,419,75,114,136,186,1961
Japan,66,159,446,248,182,129,154,441,347,194,128,180,2674
Australia,76,111,273,383,127,207,169,175,248,423,326,221,2739
Malaysia,42,183,256,261,218,434,86,294,400,210,272,484,3140
Germany,51,177,748,305,195,71,37,110,294,793,532,109,3422
United Kingdom,56,228,530,354,168,72,65,87,397,768,663,197,3585
Singapore,63,176,349,315,363,369,107,216,342,310,322,954,3886
Thailand,51,359,437,772,457,236,130,73,220,287,336,528,3886
China,184,527,757,764,608,331,412,584,825,768,612,506,6878
USA,360,691,1170,1152,644,489,281,288,986,2362,1425,713,10561
